key,en,ita,chi,rus,jpn,kor,vie,por,spa
GAME_TITLE_LABEL,LOVE DRUNK,LOVE DRUNK,LOVE DRUNK,LOVE DRUNK,LOVE DRUNK,LOVE DRUNK,LOVE DRUNK,LOVE DRUNK,LOVE DRUNK
START_GAME_BUTTON,START,Inizio,开始,,,,,,Inicio
DIFFICULTY_LABEL,DIFFICULTY,Difficoltà,困难,,,,,,Dificulta
DIFF_OPTION_1,PRACTICE,Pratica,练习,,,,,,Practica
DIFF_OPTION_2,EASY,Facile,简单的,,,,,,Fácil
DIFF_OPTION_3,NORMAL,Normale,,,,,,,Normal
DIFF_OPTION_4,HARD,Duro,,,,,,,Difícil
DIFF_OPTION_5,ENDLESS,Infinita,,,,,,,Interminable
LEADERBOARD_BUTTON,LEADERBOARDS,Tabellone,,,,,,,Tabla de clasificación
RADIO_BUTTON,RADIO,Radio,,,,,,,Radio
OPTIONS_BUTTON,OPTIONS,Opzioni,,,,,,,Optiones
CREDITS_BUTTON,CREDITS,Complimenti,,,,,,,Creditos
QUIT_BUTTON,QUIT,Esci,,,,,,,Dejar
,,,,,,,,,
OPTIONS_LABEL,OPTIONS,Opzioni,,,,,,,Optiones
MOTION_SICK_MODE_CHECK,MOTION SICK MODE,Anti-Nausea,,,,,,,Anti-Mareo
ARACHNOPHOBIA_MODE_CHECK,ARACHNOPHOBIA MODE,Anti-Aracnofobia,,,,,,,Anti- Arachnophobia
ARACHNOPHILIA_MODE_CHECK,ARACHNOPHILIA MODE,Aracnofilia,,,,,,,Arachnophilia
AUDIO_LABEL,AUDIO,Audio,,,,,,,Audio
MASTER_SLIDER_LABEL,MASTER,Master,,,,,,,Maestro de Audio
VOICE_LINE_SLIDER_LABEL,VOICE LINES,Vocali,,,,,,,Lineas de Voz
MUSIC_SLIDER_LABEL,MUSIC,Musica,,,,,,,Música
SOUND_EFFECTS_SLIDER_LABEL,SOUND EFFECTS,Effetti,,,,,,,Efectos de Sonidos
RESOLUTION_LABEL,RESOLUTION,Risoluzione,,,,,,,Resolución
RESOLUTION_OPTION_1,1152X648,1152X648,,,,,,,1152X648
RESOLUTION_OPTION_2,576X324,576X324,,,,,,,576X324
RESOLUTION_OPTION_3,1920X1080,1920X1080,,,,,,,1920X1080
QUALITY_LABEL,QUALITY,Qualità,,,,,,,Calidad
QUALITY_OPTION_1,1,1,,,,,,,1
QUALITY_OPTION_2,0.75,0.75,,,,,,,0.75
QUALITY_OPTION_3,0.5,0.5,,,,,,,0.5
QUALITY_OPTION_4,0.25,0.25,,,,,,,0.25
WINDOW_MODE_LABEL,WINDOW MODE,Impostazioni della Finestra,,,,,,,Modo de Ventana
WINDOW_OPTION_1,WINDOWED,Finestrato,,,,,,,Pantalla
WINDOW_OPTION_2,FULL SCREEN,Intero,,,,,,,Pantalla Completa 
WINDOW_OPTION_3,FULL SCREEN BORDERLESS,Intero Senza Bordo,,,,,,,Pantalla Completa sin Bordes
SAVE_OPTIONS_BUTTON,SAVE CHANGES,Salva Modifiche,,,,,,,Guardar Cambios
